Product ID,Reference,Name,Price,ean13,ean13_gen,Quantity
1708,BT07-Rubber Base (medium),RUBBER BASE COAT - MEDIUM (HEMA FREE),9.89,,5060726307536,10
1577,BT06-Matte Top,VELVET MATTE TOP COAT (HEMA FREE),8.79,,5060726307536,10
1574,BT06-Rubber Top,RUBBER TOP COAT (HEMA FREE),9.89,,5060726307536,10
1573,BT06-Rubber Base (thick),RUBBER BASE COAT - THICK (HEMA FREE),9.89,,5060726307536,10
1368,BT05-Ultra Seal Gel Coat,ULTRA SEAL GEL COAT (HEMA FREE),9.35,,5060726307536,10
1367,BT05-Microcrystal Base,MICROCRYSTAL BASE COAT (HEMA FREE),8.79,,5060726307536,10
1366,BT05-Microcrystal Top,MICROCRYSTAL TOP COAT (HEMA FREE),8.79,,5060726307536,10
1275,BT03-Rubber Top Coat 5ml,RUBBER TOP COAT 5ML (HEMA FREE),3.9,,5060726307536,10
1274,BT03-Rubber Base Coat (Thick) 5ml,RUBBER BASE - THICK 5ml (HEMA FREE),3.9,,5060726307536,10
1191,BT07- Acid Free PRIMER,ACID FREE PRIMER,8.9,,5060726307536,10
1105,BT07-Armour Top Coat,MICROCRYSTAL ARMOUR TOP COAT (HEMA FREE),9.89,,5060726307536,10
1102,BT04-Transfer Gel,FOIL TRANSFER GEL (HEMA FREE),9.35,,5060726307536,10
928,BT03-Blooming Gel,BLOOMING ART GEL (HEMA FREE),9.35,,5060726307536,10
857,BT03-Gold Dust Top,GOLD DUST GLITTER GEL COAT (HEMA FREE),9.89,,5060726307536,10
856,BT03-Silver Veil Top,SILVER VEIL GLITTER GEL COAT (HEMA FREE),9.89,,5060726307536,10
